,categoryId,channelId,channelTitle,publishedAt,videoId
0,10,UCGIelM2Dj3zza3xyV3pL3WQ,MigosVEVO,02,9v_rtaye2yY
1,24,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,22,fuHcdFPBKy0
2,26,UCjwmbv6NE4mOh8Z8VhPUx1Q,Rosanna Pansino,15,6i2cebTn0nc
3,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,01,vn9mMeWcgoM
4,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,08,00nmxR1mxIA
5,24,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,19,JBDWIGpKnwM
6,23,UCQG4cX86zZ51IU2cerZgPSA,Awkward Puppets,17,bo8OYPYRTIY
7,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,21,QK_iX5cPDhE
8,1,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,19,aj8mN_7Apcw
9,26,UCckETVOT59aYw80B36aP9vw,Matthias Wandel,12,iGXYZwZEZa0
10,10,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,05,56KYMMGudcU
11,23,UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,11,Ub53c95Soqk
12,26,UCG9nVSLp4nQlW79sY5ihRrg,Desi Perkins,01,uwUchGQRXKM
13,24,UCCj956IF62FbT7Gouszaj9w,BBC,18,Zi9MkiQzl20
14,26,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,16,__4c1JCHvaQ
15,20,UCqDS7KWjAPKv-7ZSlro9OiQ,thegameawards,08,Bs5Ml7_2wT0
16,23,UCVTyTA7-g9nopHeHbeuvpRA,Late Night with Seth Meyers,02,NyNQLRhsAsk
17,20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,02,dyBFAX4SDEc
18,24,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,05,vW7H-DKivX8
19,25,UCLXo7UDZvByw2ixzpQCufnA,Vox,13,EZSCtgfmEO0
20,22,UCay_OLhWtf9iklq8zg_or0g,Boldly,16,H4CkXh3FSo8
21,22,UCrUbqTCagwsaP2Fmr0p1TsA,MoreZoella,16,oXE-ssvbhQA
22,22,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,01,aphpJi5jKrM
23,10,UCFbRdRGijPR4oBjQ0fVCSmw,Björk,15,Sqbv7cCM5AI
24,24,UCucot-Zp428OwkyRm2I7v2Q,James Charles,21,Y26pMy4jf8U
25,25,UCVxBA3Cbu3pm8w8gEIoMEog,ABC7,08,sFMehG2tDcA
26,10,UC3Pa0DVzVkqEN_CwsNMapqg,SamSmithWorldVEVO,00,eYJCjVkOImU
27,24,UCR4wTAyVbbX-IiBiGCgIBTg,LIVEKellyandRyan,18,2jhwGiO5XJ8
28,1,UC7-E5xhZBZdW-8d7V80mzfg,Jenny Nicholson,13,OVa-sqcDYZ4
29,24,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,12,jibff9m0SjQ
